player_id,elo_final,elo_start,elo_peak,elo_peak_date,first_match_date,last_match_date,matches_played
209441,1423.7700364735674,1500,1514.3083743775792,1968-07-22,1968-01-08,1972-04-08,8
210771,1417.0542858379447,1500,1500.0,1968-01-08,1968-01-08,1968-04-01,2
209444,1326.7786270842007,1500,1500.0,1968-01-08,1968-01-08,1971-04-05,3
210781,1443.1180637356154,1500,1500.0,1968-01-08,1968-01-08,1968-01-08,1
202715,1527.1043384419656,1500,1527.1043384419656,1972-04-08,1968-01-14,1972-04-08,9
210788,1528.215740088284,1500,1528.215740088284,1968-01-14,1968-01-14,1968-01-14,2
210795,1420.1084720563867,1500,1500.0,1968-01-14,1968-01-14,1968-01-14,1
210794,1426.8494605537742,1500,1500.0,1968-01-14,1968-01-14,1968-01-14,1
210793,1447.4307949360862,1500,1500.0,1968-01-14,1968-01-14,1968-01-14,1
209423,1464.9870673558075,1500,1500.0,1968-01-14,1968-01-14,1971-04-05,4
202716,1474.823623308536,1500,1534.9985460659277,1971-05-31,1968-01-14,1972-04-08,9
209604,1431.0139909592779,1500,1500.0,1968-01-14,1968-01-14,1971-03-29,4
210792,1476.7642279930926,1500,1500.0,1968-01-14,1968-01-14,1968-01-14,1
210791,1415.0230220341946,1500,1500.0,1968-01-14,1968-01-14,1968-01-14,1
209573,1451.5348447787771,1500,1531.8364734410272,1969-04-14,1968-01-14,1970-04-06,4
210790,1423.7873845130327,1500,1500.0,1968-01-14,1968-01-14,1968-01-14,1
210787,1410.876087200397,1500,1500.0,1968-01-14,1968-01-14,1969-08-11,2
209625,1352.78226621649,1500,1500.0,1968-01-14,1968-01-14,1970-06-08,2
210796,1410.4480813460802,1500,1500.0,1968-01-14,1968-01-14,1968-01-14,1
209722,1369.23248953233,1500,1500.0,1968-01-14,1968-01-14,1971-03-29,2
112491,1354.640327066348,1500,1500.0,1968-01-14,1968-01-14,1969-04-04,3
210789,1478.659593667656,1500,1500.0,1968-01-14,1968-01-14,1968-01-14,1
109799,1481.4458730958008,1500,1567.6338919257782,1968-01-19,1968-01-19,1973-01-01,7
110030,1371.7139998752107,1500,1500.0,1968-01-19,1968-01-19,1968-12-30,3
100146,1665.401836298431,1500,1717.9994934507638,1972-04-08,1968-01-19,1984-09-24,184
110031,1472.6774500954973,1500,1500.0,1968-01-19,1968-01-19,1971-01-23,3
107759,1442.8820248951754,1500,1565.6631951100942,1968-01-19,1968-01-19,1974-10-21,6
110027,1434.3368048899058,1500,1500.0,1968-01-19,1968-01-19,1968-01-19,1
109803,1515.5838581617754,1500,1683.0812928600908,1968-08-05,1968-01-19,1971-01-18,40
106964,1427.1746419347671,1500,1500.0,1968-01-19,1968-01-19,1969-05-12,3
100101,1718.2332396059167,1500,1901.1540136793124,1969-07-21,1968-01-19,1975-02-17,150
110028,1434.3368048899058,1500,1500.0,1968-01-19,1968-01-19,1968-01-19,1
108519,1484.0336520284386,1500,1591.909413233955,1969-01-06,1968-01-19,1975-12-26,13
110029,1434.3368048899058,1500,1500.0,1968-01-19,1968-01-19,1968-01-19,1
100025,1536.5650651140518,1500,1898.8722876430797,1971-01-23,1968-01-19,1980-01-07,459
100105,1830.062468163024,1500,1942.887895216831,1975-10-05,1968-01-19,1979-10-15,493
110025,1434.3368048899058,1500,1500.0,1968-01-19,1968-01-19,1968-01-19,1
